LAC,Trophic_Status
Abbaye,MESOTROPHIC
Aiguebelette,OLIGO-MESOTROPHIC
Alate,NA
Arratille,NA
Aydat,EUTROPHIC
Ayes,NA
Balcère,NA
Barroude,NA
Barterand,MESOTROPHIC
Besse,NA
Blanchemer,NA
Bonlieu,MESOTROPHIC
Bordères,NA
Bourget,OLIGO-MESOTROPHIC
Chalain,MESOTROPHIC
Chéserys,OLIGOTROPHIC
Corbeaux,NA
Crégut,EUTROPHIC
Espingo,NA
Etival,MESOTROPHIC
Gardelle,NA
Gentau,NA
Gérardmer,MESOTROPHIC
Godivelle,OLIGOTROPHIC
Guéry,NA
Ilay,MESO-EUTROPHIC
Isaby,OLIGOTROPHIC
Lamoura,NA
Landie,MESO-EUTROPHIC
Léman,MESOTROPHIC
Longemer,MESOTROPHIC
Maix,NA
Marion,NA
Mont Coua,OLIGOTROPHIC
Mouriscot,EUTROPHIC
Nantua,MESOTROPHIC
Parentis,EUTROPHIC
Peyrelade,MESOTROPHIC
Port Bielh,OLIGOTROPHIC
Roumazet,NA
Rousses,OLIGO-MESOTROPHIC
Saint-Point,MESO-EUTROPHIC
Serviere,MESOTROPHIC
Soucarrane,NA
Tazenat,OLIGO-MESOTROPHIC
Val,MESOTROPHIC
Verdet,OLIGOTROPHIC
Vert,NA
