POSITION,LAC,CODE_BIOLMOL,MASS_SED_WET_g,ELUTION_VOL_microL,CC_ng_BY_microL,TOT_EXTRACT_DNA_ng,ng_ADN_BY_g_WET_SED,MASS_DRY_SED_g,ng_ADN_BY_g_DRY_SED
Top,Abbaye,Abb_T_1,0.37,30,138.37,4151.1,11219.2,0.06,74794.6
Top,Abbaye,Abb_T_2,0.43,30,142.81,4284.3,9963.5,0.06,66423.3
Bottom,Abbaye,Abb_B_1,0.34,30,56.73,1701.9,5005.6,0.06,26345.2
Bottom,Abbaye,Abb_B_2,0.405,30,61.74,1852.2,4573.3,0.08,24070.2
Top,Aiguebelette,Aig_T_1,0.445,30,122.03,3660.9,8226.7,0.17,21649.3
Top,Aiguebelette,Aig_T_2,0.44,30,91.43,2742.9,6233.9,0.17,16404.9
Bottom,Aiguebelette,Aig_B_1,0.48,30,56.41,1692.3,3525.6,0.21,8012.8
Bottom,Aiguebelette,Aig_B_2,0.42,30,50.34,1510.2,3595.7,0.18,8172.1
Top,Alate,Ala_T_1,0.36,30,8.19,245.7,682.5,0.05,5187
Top,Alate,Ala_T_2,0.29,30,10.26,307.8,1061.4,0.04,8066.5
Bottom,Alate,Ala_B_1,0.37,30,4.05,121.5,328.4,0.04,2850.3
Bottom,Alate,Ala_B_2,0.305,30,5.94,178.2,584.3,0.04,5071.4
Top,Arratille,ARAT_T_1,0.325,30,109.03,3270.9,10064.3,0.08,42714.8
Top,Arratille,ARAT_T_2,0.605,30,115.5,3465,5727.3,0.14,24307.6
Bottom,Arratille,ARAT_B_1,0.485,30,106.05,3181.5,6559.8,0.13,24316.5
Bottom,Arratille,ARAT_B_2,0.545,30,100.22,3006.6,5516.7,0.15,20449.8
Top,Aulnes,Aul_T_1,0.385,30,183.61,5508.3,14307.3,0.11,51994.6
Top,Aulnes,Aul_T_2,0.41,30,148.24,4447.2,10846.8,0.11,39418.9
Bottom,Aulnes,Aul_B_1,0.505,30,0.1,3,0.6,0.34,8.7
Bottom,Aulnes,Aul_B_2,0.52,30,0.5,15,28.8,0.35,42.4
Top,Aydat,Ayd_T_1,0.39,30,110.62,3318.6,8509.2,0.07,44785.4
Top,Aydat,Ayd_T_2,0.515,30,126.63,3798.9,7376.5,0.1,38823.7
Bottom,Aydat,Ayd_B_1,0.53,30,41.33,1239.9,2339.4,0.13,9747.6
Bottom,Aydat,Ayd_B_2,0.485,30,43.65,1309.5,2700,0.12,11250
Top,Ayes,AYES_T_1,0.465,30,209.8,6294,13535.5,0.1,64129.8
Top,Ayes,AYES_T_2,0.5,30,216.88,6506.4,13012.8,0.11,61653.4
Bottom,Ayes,AYE B,0.32,30,178.21,5346.3,16707.2,0.06,85734.3
Bottom,Ayes,AYES_B_1,0.51,30,173.43,5202.9,10201.8,0.1,52351.2
Top,Barroude,Barr_T_1,0.51,30,119.24,3577.2,7014.1,0.25,14298
Top,Barroude,Barr_T_2,0.33,30,101.02,3030.6,9183.6,0.16,18720.5
Bottom,Barroude,Barr_B_1,0.52,30,38.08,1142.4,2196.9,0.3,3861.5
Bottom,Barroude,Barr_B_2,0.355,30,27.03,810.9,2284.2,0.2,4015
Top,Barterand,Bar_T_1,0.575,30,141.03,4230.9,7358.1,0.21,20439.1
Top,Barterand,Bar_T_2,0.54,30,105.62,3168.6,5867.8,0.19,16299.4
Bottom,Barterand,Bar_B_1,0.53,30,58.99,1769.7,3339.1,0.22,8144
Bottom,Barterand,Bar_B_2,0.525,30,66.6,1998,3805.7,0.22,9282.2
Top,Besse,Bes_T_1,0.435,30,133.04,3991.2,9175.2,0.2,20058.4
Top,Besse,Bes_T_2,0.575,30,120.11,3603.3,6266.6,0.26,13699.8
Bottom,Besse,Bes_B_1,0.455,30,62.43,1872.9,4116.3,0.24,7786.4
Bottom,Besse,Bes_B_2,0.46,30,57.42,1722.6,3744.8,0.24,7083.7
Top,Blanc,Bla_T_1,0.44,30,45.34,1360.2,3091.4,0.3,4529.3
Top,Blanc,Bla_T_2,0.44,30,93.69,2810.7,6388,0.3,9359.3
Bottom,Blanc,Bla_B_1,0.53,30,0.1,3,5.7,0.44,6.8
Bottom,Blanc,Bla_B_2,0.52,30,3.75,112.5,216.3,0.44,258.1
Top,Blanchemer,BlaC_T_1,0.49,30,71.23,2136.9,4361,0.06,36341.8
