LAC,POP20km
Bourget,200607.5
Guéry,25996
Blanchemer,92218
Ilay,44683
Lamoura,106157.5
Landie,18377
Rousses,43370
Corbeaux,86168.5
Abbaye,52974.5
Val,51633
Longemer,85904.5
Etival,54392.5
Nantua,94960.5
Barterand,129949
Chalain,67846
Godivelle,10202.5
Aydat,286698
Gérardmer,88562.5
Aiguebelette,248864.5
Isaby,50730.5
Arratille,6930
Barroude,3970
Mouriscot,246517.5
Marion,241455.5
Alate,11796
Ayes,17951
Besse,36196.5
Bonlieu,46909.5
Bordères,18066
Chéserys,34332.5
Espingo,9360.5
Tazenat,101695.5
Gentau,4170.5
Maix,57299
Mont Coua,27530.5
Peyrelade,34440.5
Roumazet,1376
Saint-Point,51964
Serviere,43471
Soucarrane,1222
Parentis,37438.5
Gardelle,1576.5
Port Bielh,12307.5
Verdet,17446
Vert,86377
Léman,94608
Crégut,20999
Balcère,14040.5
